Rank,Algorithm,TotalAccuracy,TotalSpeed,TotalScore,RankSum
1,RDE26,137311,136786.5,274097.5,77
2,DE-2LS,148506.5,122298.5,270805,93
3,RDEx,145724.5,118601,264325.5,106
4,L-SRTDE,136190,113067.5,249257.5,132
5,rcmaes,120080,116595.5,236675.5,148
6,R-CMA-ES,37554.5,187423.5,224978,161
7,BlockEA,98914.5,75581.5,174496,201
8,mLSHADE_LR,100043.5,67153,167196.5,206
9,jSOa,101379.5,62546,163925.5,222
10,IEACOP,57096,69055,126151,255
11,ADSDE,9775,23467,33242,313
